City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Da Lat,11.9465,108.4419,50.52,95,61,4.14,VN,2021-12-09 18:51:34
140,Waingapu,-9.6567,120.2641,79.34,83,99,5.08,ID,2021-12-09 18:51:34
141,Itabirito,-20.2533,-43.8014,86.77,60,61,5.1,BR,2021-12-09 18:51:34
142,Kulhudhuffushi,6.6221,73.07,81.61,77,100,8.93,MV,2021-12-09 18:51:34
143,Tuktoyaktuk,69.4541,-133.0374,-7.6,84,40,5.75,CA,2021-12-09 18:51:35
144,Provideniya,64.3833,-173.3,-1.66,95,100,14.34,RU,2021-12-09 18:51:35
145,Edmonds,47.8107,-122.3774,42.37,89,90,3.0,US,2021-12-09 18:49:25
146,Eyl,7.9803,49.8164,75.9,64,6,19.8,SO,2021-12-09 18:51:36
147,Touba,8.2833,-7.6833,79.95,32,32,2.46,CI,2021-12-09 18:51:36
148,Bilibino,68.0546,166.4372,-44.86,100,99,0.94,RU,2021-12-09 18:51:36
149,Yar-Sale,66.8333,70.8333,-0.9,100,83,1.77,RU,2021-12-09 18:51:37
150,Dikson,73.5069,80.5464,-21.51,100,49,5.88,RU,2021-12-09 18:51:37
151,Hami,42.8,93.45,32.07,58,100,4.16,CN,2021-12-09 18:51:37
152,Ambon,-3.6954,128.1814,75.34,100,40,2.3,ID,2021-12-09 18:51:38
153,Alofi,-19.0595,-169.9187,75.09,94,100,4.61,NU,2021-12-09 18:51:38
154,Portland,45.5234,-122.6762,42.78,93,90,1.99,US,2021-12-09 18:46:44
155,Bokaa,-24.45,26.0167,79.29,53,0,6.91,BW,2021-12-09 18:51:39
156,Sioux Lookout,50.1001,-91.917,24.87,93,90,11.5,CA,2021-12-09 18:51:39
157,Longyearbyen,78.2186,15.6401,24.64,86,75,2.3,SJ,2021-12-09 18:51:39
158,Sinnai,39.3042,9.2036,48.72,70,40,4.61,IT,2021-12-09 18:51:40
159,Saurimo,-9.6608,20.3916,65.62,93,11,0.69,AO,2021-12-09 18:51:40
160,Xapuri,-10.6517,-68.5044,75.85,95,100,3.36,BR,2021-12-09 18:51:40
161,Douglas,41.3,-96.167,57.88,44,1,3.0,US,2021-12-09 18:51:40
162,Comodoro Rivadavia,-45.8667,-67.5,69.66,40,0,18.41,AR,2021-12-09 18:51:41
163,Nanhai,30.1282,111.7784,50.68,55,72,1.39,CN,2021-12-09 18:51:41
164,Faanui,-16.4833,-151.75,80.82,72,97,14.0,PF,2021-12-09 18:51:41
165,Ostrovnoy,68.0531,39.5131,16.36,95,100,7.27,RU,2021-12-09 18:51:42
166,Fairbanks,64.8378,-147.7164,10.36,79,75,0.0,US,2021-12-09 18:51:42
167,Tosham,28.8833,75.9167,60.22,44,0,2.19,IN,2021-12-09 18:51:42
168,Talnakh,69.4865,88.3972,-14.8,99,81,7.29,RU,2021-12-09 18:51:42
169,Torres,-29.3353,-49.7269,70.83,61,62,7.99,BR,2021-12-09 18:51:43
170,Suoyarvi,62.0833,32.35,-3.39,100,61,2.17,RU,2021-12-09 18:51:43
171,Arraial Do Cabo,-22.9661,-42.0278,76.86,73,0,18.41,BR,2021-12-09 18:51:43
172,Dunedin,-45.8742,170.5036,55.8,64,98,1.01,NZ,2021-12-09 18:51:44
173,Pangnirtung,66.1451,-65.7125,1.4,78,75,4.61,CA,2021-12-09 18:51:44
174,Sao Filipe,14.8961,-24.4956,76.59,65,80,12.64,CV,2021-12-09 18:51:44
175,Isangel,-19.55,169.2667,75.31,100,40,0.0,VU,2021-12-09 18:51:45
