City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Linda,US,39.1277,-121.5508,52.32,79,90,17.27,overcast clouds
125,Sayyan,YE,15.1718,44.3244,45.59,47,0,4.54,clear sky
126,Nueva Loja,EC,0.0847,-76.8828,89.08,62,40,3.44,scattered clouds
127,Qandala,SO,11.472,49.8728,76.21,78,18,8.75,few clouds
128,La Concordia,NI,13.1953,-86.1667,77.34,59,19,12.55,few clouds
129,Kumher,IN,27.3167,77.3667,55.56,46,2,2.89,clear sky
130,Beringovskiy,RU,63.05,179.3167,-22.47,90,100,10.83,overcast clouds
131,Idlib,SY,35.9306,36.6339,47.59,54,100,6.17,overcast clouds
132,Niquero,CU,20.0431,-77.5828,85.48,58,26,4.07,scattered clouds
133,Kapit,MY,2.0167,112.9333,74.16,99,100,0.87,light rain
134,Amapa,BR,1.0,-52.0,86.22,60,81,4.05,broken clouds
135,Mocuba,MZ,-16.8392,36.9856,81.48,67,0,8.79,clear sky
136,Krasnyy Oktyabr,RU,56.1167,38.8833,19.51,96,97,6.98,overcast clouds
137,Skelleftea,SE,64.7507,20.9528,33.01,69,75,1.99,broken clouds
138,Kuah,MY,6.3265,99.8432,79.97,76,42,17.9,scattered clouds
139,Kita,ML,13.0349,-9.4895,82.62,11,13,4.63,few clouds
140,Severo-Kurilsk,RU,50.6789,156.125,33.22,96,87,13.89,light snow
141,Mangrol,IN,21.1167,70.1167,73.94,59,0,5.7,clear sky
142,Codrington,AU,-38.2667,141.9667,66.92,35,99,8.75,overcast clouds
143,Bethel,US,41.3712,-73.414,47.19,39,0,5.99,clear sky
144,Seoul,KR,37.5683,126.9778,26.04,31,0,10.83,clear sky
145,Juneau,US,58.3019,-134.4197,27.21,95,100,7.81,overcast clouds
146,Sangar,RU,63.9242,127.4739,-32.67,98,85,1.81,overcast clouds
147,Georgetown,MY,5.4112,100.3354,79.9,82,40,9.22,thunderstorm
148,Zhigansk,RU,66.7697,123.3711,-39.1,100,99,4.27,overcast clouds
149,Palaikastron,GR,35.2,26.25,61.75,73,16,9.01,few clouds
150,Moroto,UG,2.5345,34.6666,71.89,50,100,20.02,overcast clouds
151,Kapitanivka,UA,48.9172,31.7167,39.79,76,100,11.41,overcast clouds
152,Termiz,UZ,37.2242,67.2783,39.29,70,99,2.3,mist
153,Vanimo,PG,-2.6741,141.3028,78.87,88,100,6.51,overcast clouds
154,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,60,14.74,light rain
155,Sumter,US,28.7086,-82.0831,85.44,76,100,8.25,overcast clouds
156,Sao Filipe,CV,14.8961,-24.4956,75.42,69,88,8.79,overcast clouds
157,Upernavik,GL,72.7868,-56.1549,6.35,92,100,9.98,overcast clouds
158,Necochea,AR,-38.5473,-58.7368,72.03,49,100,18.1,overcast clouds
