City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Kotido,UG,75.38,broken clouds,2.9806,34.1331,Loware Joseph Mukasa's Residence
510,Lekoni,GA,75.6,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
514,Chivacoa,VE,88.12,overcast clouds,10.1603,-68.895,Hotel Fache C.A
518,Ondjiva,AO,78.1,overcast clouds,-17.0667,15.7333,COMBUESA
519,Macia,MZ,83.5,overcast clouds,-25.0269,33.0989,Hotel Taskin Macia
520,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
526,El Bagre,CO,84.07,overcast clouds,7.5927,-74.8086,Hotel Real
535,Dhidhdhoo,MV,82.27,broken clouds,6.8833,73.1,Dhidhoo beach
540,Sola,VU,82.06,light rain,-13.8833,167.55,Leumerus Bungalows
547,Itarema,BR,85.6,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
550,Upata,VE,76.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
552,Kloulklubed,PW,83.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
554,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
558,George Town,MY,79.9,thunderstorm,5.4112,100.3354,Cititel Penang
560,Sao Miguel Do Araguaia,BR,81.54,light rain,-13.275,-50.1628,Hotel Executivo Palace
564,Tandil,AR,75.52,overcast clouds,-37.3217,-59.1332,HOSTAL DE LA SIERRA TANDIL
568,Aguas Formosas,BR,82.76,overcast clouds,-17.0822,-40.9358,HAVAY PALACE HOTEL
573,Ambon,ID,81.63,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
579,Manzanillo,CU,89.33,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
582,The Valley,AI,83.82,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
584,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
592,Koungheul,SN,87.93,overcast clouds,13.9833,-14.8,
601,Bahia Blanca,AR,82.56,clear sky,-38.7196,-62.2724,Hotel Argos
607,Pundaguitan,PH,82.49,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
617,Bumba,CD,76.51,overcast clouds,2.1833,22.4667,Père Carlos
618,Candolim,IN,78.8,light rain,15.5181,73.7626,Resort Terra Paraiso
627,Sinnamary,GF,77.22,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
629,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
630,Sambava,MG,76.23,light rain,-14.2667,50.1667,Melrose
631,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
637,Tambilil,PH,78.33,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
638,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
640,Sitio Novo Do Tocantins,BR,85.93,moderate rain,-5.5183,-47.4611,Imperial Hotel
643,Carutapera,BR,87.03,scattered clouds,-1.195,-46.02,Lidera
648,Sorong,ID,81.64,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
656,Porto Walter,BR,84.99,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
657,Karratha,AU,88.48,clear sky,-20.7377,116.8463,ibis Styles Karratha
658,Funadhoo,MV,82.47,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
663,Tarakan,ID,79.48,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
666,Innisfail,AU,77.92,scattered clouds,-17.5333,146.0333,Moondarra Motel
667,Hatillo,PR,86.94,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
668,Xuddur,SO,81.01,overcast clouds,4.1213,43.8894,Banjanay Hotel
670,Lakatoro,VU,81.37,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
673,Ambanja,MG,76.05,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
677,Katherine,AU,80.92,scattered clouds,-14.4667,132.2667,Pine Tree Motel
679,Acarau,BR,85.95,few clouds,-2.8856,-40.12,castelo pizzaria
680,Limbang,MY,79.11,overcast clouds,4.75,115.0,Purnama Hotel
686,Camapua,BR,77.22,light rain,-19.5314,-54.0439,Comercial Estrela
